timestamp,id,group,outcome
9/24/16 17:42,804196,treatment,0
9/24/16 19:19,434745,treatment,0
9/24/16 19:36,507599,treatment,0
9/24/16 19:59,671993,control,0
9/24/16 20:26,536734,treatment,0
9/24/16 20:32,681598,treatment,0
9/24/16 20:39,522116,treatment,0
9/24/16 20:57,349125,treatment,0
9/24/16 20:58,349125,treatment,1
9/24/16 21:00,560027,control,0
9/24/16 21:00,265695,treatment,0
9/24/16 21:05,601714,treatment,0
9/24/16 21:06,601714,treatment,1
9/24/16 21:09,416862,treatment,0
9/24/16 21:29,487634,treatment,0
9/24/16 21:30,487634,treatment,1
9/24/16 23:01,468601,treatment,0
9/24/16 23:01,468601,treatment,1
9/24/16 23:08,293251,treatment,0
9/24/16 23:50,515303,treatment,0
9/25/16 0:00,555973,treatment,0
9/25/16 0:01,555973,treatment,1
9/25/16 0:06,756950,treatment,0
9/25/16 0:25,281985,control,0
9/25/16 1:14,407864,control,0
9/25/16 2:16,342984,control,0
9/25/16 2:41,716544,control,0
9/25/16 2:52,398892,control,0
9/25/16 2:53,398892,control,1
9/25/16 3:28,444902,treatment,0
9/25/16 3:29,444902,treatment,1
9/25/16 3:50,769969,control,0
9/25/16 3:50,462225,control,0
9/25/16 3:51,710625,treatment,0
9/25/16 3:53,667387,control,0
9/25/16 4:14,588929,treatment,0
9/25/16 5:18,544571,control,0
9/25/16 5:19,544571,control,1
9/25/16 5:21,824613,control,0
9/25/16 5:42,269335,treatment,0
9/25/16 5:44,269335,treatment,1
9/25/16 5:47,199091,control,0
9/25/16 6:02,694237,treatment,0
9/25/16 6:36,685428,treatment,0
9/25/16 6:59,596892,treatment,0
9/25/16 7:00,596892,treatment,1
9/25/16 7:23,653403,treatment,0
9/25/16 7:24,653403,treatment,1
9/25/16 7:49,408725,treatment,0
9/25/16 8:07,731880,treatment,0
9/25/16 8:10,922848,treatment,0
9/25/16 8:11,922848,treatment,1
9/25/16 8:12,547020,control,0
9/25/16 8:22,283438,treatment,0
9/25/16 8:23,283438,treatment,1
9/25/16 8:24,194950,control,0
9/25/16 8:25,194950,control,1
9/25/16 9:43,894454,control,0
9/25/16 9:45,894454,control,1
9/25/16 10:08,762607,treatment,0
9/25/16 10:08,370483,treatment,0
9/25/16 10:09,370483,treatment,1
9/25/16 10:37,639852,control,0
9/25/16 10:38,639852,control,1
9/25/16 10:41,826660,treatment,0
9/25/16 10:42,826660,treatment,1
9/25/16 11:21,381380,control,0
9/25/16 11:21,381380,control,1
9/25/16 11:28,192086,control,0
9/25/16 12:21,910738,control,0
9/25/16 12:22,910738,control,1
9/25/16 12:23,737242,control,0
9/25/16 13:10,631731,control,0
9/25/16 13:11,208738,treatment,0
9/25/16 14:32,284158,control,0
9/25/16 14:42,246990,treatment,0
9/25/16 14:43,246990,treatment,1
9/25/16 14:56,832871,treatment,0
9/25/16 14:56,832871,treatment,1
9/25/16 15:39,931724,control,0
9/25/16 16:31,461125,control,0
9/25/16 16:31,461125,control,1
9/25/16 17:14,694466,treatment,0
9/25/16 17:44,605472,control,0
9/25/16 17:56,394070,control,0
9/25/16 18:50,368583,control,0
9/25/16 18:51,368583,control,1
9/25/16 19:22,828518,treatment,0
9/25/16 19:56,561305,control,0
9/25/16 20:04,833404,treatment,0
9/25/16 20:06,808288,treatment,0
9/25/16 20:12,714681,treatment,0
9/25/16 20:51,456084,treatment,0
9/25/16 20:56,593665,control,0
9/25/16 21:04,752081,control,0
9/25/16 22:12,692154,treatment,0
9/25/16 23:14,262702,treatment,0
9/25/16 23:58,816232,treatment,0
9/26/16 0:10,489436,control,0
